item,itemLabel,position,positionLabel,start,psid
Q111524163,Mary Munive,Q113970675,Minister of Sport and Recreation of Costa Rica,2022-06-04,Q111524163-adf48840-4cd7-6f06-87f8-09bc45b48e17
Q111524163,Mary Munive,Q7925043,Vice President of Costa Rica,2022-05-08,Q111524163-F18648D9-E083-4842-9E11-E73075D00CB0
Q111677386,Stephan Brunner,Q7925043,Vice President of Costa Rica,2022-05-08,Q111677386-FFE42EE4-5B9C-412E-8112-686BF8D75CD0
Q114704690,Arnoldo Andre Tinoco,Q6402752,Minister of Foreign Affairs,2022-05-08,Q114704690-95988796-8BD8-4E84-B7D4-584F26B4A2E2
Q114705136,Anna Katharina Müller Castro,Q114704799,Minister of Public Education,2022-05-08,Q114705136-DB82F0BF-C797-4213-900E-0037F624086C
Q114705137,Carlos Enrique Alvarado Briceño,Q114704714,"Minister of Science, Technology and Telecommunications of Costa Rica",2022-05-08,Q114705137-1BA611CA-868F-4826-A3E1-1318144533FD
Q114705139,Cindy Quesada Hernández,Q114704849,Minister of Women,2022-05-08,Q114705139-E5BE97B7-1891-4F77-8BF0-A687213D1360
Q114705140,Francisco Gamboa Soto,Q114704797,"Minister of Economy, Industry and Commerce of Costa Rica",2022-05-08,Q114705140-54F3BFD9-10AD-430F-9618-6F8107039713
Q114705141,Franz Tattenbach Capra,Q114704712,Minister of Environment and Energy,2022-05-08,Q114705141-B2141C87-D35A-42DE-9C02-D01060720A00
Q114705143,Gerald Campos Valverde,Q114704800,Minister of Justice and Peace of Costa Rica,2022-05-08,Q114705143-61340C4D-7ED5-4C48-B975-B0EFC81C3461
Q114705144,Gloriana López Fuscaldo,Q114704925,Minister of Childhood and Adolescence,2022-05-08,Q114705144-AF7309BD-4C4D-442E-A564-139645ECC11E
Q114705145,Jorge Torres Castillo,Q113971339,Minister of Public Security of Costa Rica,2022-05-08,Q114705145-4C15A934-ED25-4E66-B439-822F9A47E9F0
Q114705147,Joselyn Chacón Madrigal,Q114704812,Minister of Health of Costa Rica,2022-05-08,Q114705147-44260F33-C662-45E2-80B0-51899F33FA87
Q114705148,Jéssica Martínez Porras,Q113971282,Minister of Housing and Human Settlements of Costa Rica,2022-05-08,Q114705148-B32C0763-3BC1-45AF-848B-E775B5CB291E
Q114705150,Laura Fernández Delgado,Q113971274,Minister of National Planning and Economic Policy of Costa Rica,2022-05-08,Q114705150-34EA8D76-3B2F-43C8-A1CC-BD0B40138125
Q114705151,Luis Amador Jiménez,Q114704807,Minister of Public Works and Transport,2022-05-08,Q114705151-F0BA3985-8177-47C5-8190-2AE25CCCF165
Q114705152,Manuel Tovar Rivera,Q114704750,Minister of Foreign Trade,2022-05-08,Q114705152-77271EBD-1D45-4BAA-BE3A-B198EC9D81BB
Q114705154,Nayuribe Guadamuz Rosales,Q114704788,"Minister of Culture, Youth and Sports of Costa Rica",2022-05-08,Q114705154-08BBBAFA-9725-4C75-8F66-0162C4EA4907
Q114705155,Nogui Acosta Jaén,Q114704900,Minister of Finance of Costa Rica,2022-05-08,Q114705155-95ACD844-55AB-4682-A806-EFA31CBEC68F
Q114705157,William Rodríguez López,Q113970716,Minister of Tourism of Costa Rica,2022-05-08,Q114705157-F553E068-C796-449D-B725-272028EE2ED2
Q114705158,Yorleny León Marchena,Q114704865,Minister of Human Development and Social Inclusion,2022-05-08,Q114705158-2296BA50-4102-47B9-905F-C677C3084935
Q114941902,Victor Carvajal Porras,Q114704706,Minister of Agriculture and Livestock,2022-09-09,Q114941902-360D391D-E9F7-4993-9A98-214227B934E8
Q28501930,Natalia Díaz Quintana,Q52244184,Minister of the Presidency of Costa Rica,2022-05-08,Q28501930-f1ca154f-4011-c8ac-ded1-8223b0add838
Q98017689,Rodrigo Alberto de Jesús Chaves Robles,Q27977064,President of Costa Rica,2022-05-08,Q98017689-2B88608A-801E-46D6-B4F6-160098F28CB7
